location,superdir_in_storage,filename
Kodiak,kodiak,Kodiak-1
Kodiak,kodiak,KOdiak-2
Ninilchik,ninilchik,Ninilchik-1
Ninilchik,ninilchik,Ninilchik-2
Ninilchik,ninilchik,Ninilchik-3
Ninilchik,ninilchik,Ninilchik-4
